metric,lastUpdate,updateFrequency,note
US GDP growth QoQ,2026-08-31T08:01:54,Daily,
Seasonality scanners,2026-08-31T06:31:30,24h,
Scenario Backtests,2026-08-30T18:32:37,Daily except weekends,
Retail sentiment,2026-08-31T13:01:38,30 minutes,
Retail sales,2026-08-31T09:14:41,Daily,
Put-call ratio,2026-08-29T04:01:36,Daily,BROKEN - A1 reports its own script failed; 57h stale
Price quotes (all symbols),2026-08-31T13:10:46,15 minutes,
PPI data,2026-08-31T08:45:03,Daily,
PCE data,2026-08-31T09:34:23,Daily,
GDP data,2026-08-31T12:58:55,Hourly,
Employment data,2026-08-31T12:48:53,Hourly,
Economic calendar,2026-08-31T13:02:16,30 minutes,
Central bank interest rates,2026-08-31T08:06:50,Daily,
Carry trade scanner,2026-08-31T08:06:50,"3am 8am 2pm 10pm",
CPI data,2026-08-31T12:48:53,Hourly,
COT data,2026-08-28T16:12:11,Weekly checks every 12h,
AI news feed,2026-08-31T12:07:12,"9am 12noon 6pm EST",
AAII investor sentiment,2026-08-27T01:24:50,Weekly,
