# A1 EdgeFinder -> COT Data -> Latest COT Report, read from the DOM during full access.
# CFTC report date printed on the page: 28 aug. 2026, 16:12:11.
# A1 refresh stamp: 03.09.2026 13:12:23 local (UTC+3) = 2026-09-03 10:12Z.
#
# On 3 September they are still serving the 28 AUGUST report, which is the
# publication-lag rule holding: the Tuesday survey is not public until Friday.
#
# THEIR PUBLISHED METHODOLOGY, quoted from the page: the data is the CFTC weekly
# commitment of traders LEGACY report, NON-COMMERCIAL positions only (large
# speculators). They state they deliberately ignore commercial positions because
# those hedge rather than speculate.
#
# checksum verifies what their `netPctChange` column actually is:
#     netPctChange == longPct(now) - longPct(prior)
# where the prior week is recovered as long-dLong and short-dShort. That is a
# change in LONG SHARE measured in percentage POINTS, not a percentage change in
# the net position - and it is the metric our own COT rule already uses.
symbol,longContracts,shortContracts,dLongContracts,dShortContracts,longPct,shortPct,netPctChange,netPosition,openInterest,dOpenInterest,checksum
NZD,9545,23784,3201,-15180,28.64,71.36,14.64,-14239,89000,-189,OK
CHF,19938,39884,5897,-1435,33.33,66.67,7.97,-19946,109000,-4826,OK
CAD,36266,157788,13281,-23363,18.69,81.31,7.43,-121522,330000,-30041,OK
NASDAQ,88632,78593,5106,-15349,53,47,5.94,10039,302000,4056,OK
ZAR,17341,5444,2669,-729,76.11,23.89,5.72,11897,36000,3471,OK
GBP,93612,138136,16269,6220,40.39,59.61,3.43,-44524,318000,32097,OK
NIKKEI,6624,3330,621,-150,66.55,33.45,3.24,3294,31000,64,OK
SILVER,37871,12610,-482,-2118,75.02,24.98,2.77,25261,114000,-6316,OK
EUR,198919,235271,2678,-20058,45.81,54.19,2.36,-36352,819000,13584,OK
AUD,106864,151319,18660,18956,41.39,58.61,1.4,-44455,334000,45380,OK
Gold,277159,33825,20257,-888,89.12,10.88,1.03,243334,428000,21697,OK
US10T,514737,1353712,-21560,-129546,27.55,72.45,0.99,-838975,6209000,612000,OK
PLATINUM,26947,11561,3433,1086,69.98,30.02,0.8,15386,65000,4519,OK
NATGAS,313777,511709,2971,-2600,38.01,61.99,0.34,-197932,1748000,20352,OK
USOil,323243,199794,3084,1725,61.8,38.2,0.02,123449,1907000,17780,OK
USD,29042,10360,-540,-143,73.71,26.29,-0.09,18682,48000,25,OK
COPPER,121419,36153,10020,4502,77.06,22.94,-0.82,85266,283000,1736,OK
BTC,16582,14633,-788,-1,53.12,46.88,-1.15,1949,22000,456,OK
JPY,128340,191638,-592,9813,40.11,59.89,-1.38,-63298,384000,3405,OK
ETHEREUM,22329,19414,2432,3850,53.49,46.51,-2.62,2915,27000,4184,OK
DOW,25680,10123,-1152,972,71.73,28.27,-2.84,15557,88000,-1618,OK
RUSSELL,65674,117252,-11228,-1865,35.9,64.1,-3.33,-51578,413000,-11956,OK
SPX,229741,307916,-40937,21502,42.73,57.27,-5.86,-78175,2075000,-24238,OK
