# A1 EdgeFinder -> Macro Scanners -> Eco Surprise Index (page p_n5qm8xilrd).
# Read from the DOM 2026-09-03; A1 refresh stamp 03.09.2026 14:00:38 (= 11:00Z).
# Their own subtitle: "Short-term fundamental indicator based on recent economic
# data surprises", and their gauge text calls it "average economic
# outperformance or underperformance across the eight major currencies".
#
# WHAT THE NUMBER IS. Every score is a simple fraction with a denominator under
# eight - CHF 5/6, CAD 5/7, AUD 3/5, JPY 1/2, GBP 2/5, NZD 1/3, EUR 1/4,
# USD 1/5, TRY 1/5, CHY 1/6, ZAR 1/6. That is a COUNT: the share of recent
# releases that beat forecast, over a short window whose length differs per
# currency (5, 6 and 7 all appear), presumably however many releases fell inside
# it. It is not an average of surprise magnitudes.
#
# Note the currency list is wider than the board: TRY, CHY and ZAR appear here.
currency,scorePct,simplestFraction
CHF,83.33,5/6
CAD,71.43,5/7
AUD,60,3/5
JPY,50,1/2
GBP,40,2/5
NZD,33.33,1/3
EUR,25,1/4
TRY,20,1/5
USD,20,1/5
CHY,16.67,1/6
ZAR,16.67,1/6
