# A1 EdgeFinder per-country Economic Heatmaps, read from the DOM during full access.
# A1 refresh stamp on every page: 03.09.2026 08:27:25-26 local (UTC+3) = 2026-09-03 05:27Z.
# Columns are A1's own: surprise, actual, forecast, previous, then the CURRENCY impact and
# the STOCKS impact they print per row. `row` is their positional slot number, which is what
# identifies the column - the series filling a slot differs by country (JP row 7 is Household
# Spending where US row 7 is PCE YoY).
# checksum verifies A1's own arithmetic: surprise == actual - forecast, to their printed precision.
country,row,series,date,daysAgo,surprise,actual,forecast,previous,currencyImpact,stocksImpact,checksum
US,1,GDP Growth QoQ,2026-08-26,8,0.0,1.5,1.5,2.1,,,OK
US,2,Manufacturing PMIs,2026-09-01,2,-0.6,54.6,55.2,55.6,Bearish,Bearish,OK
US,3,Services PMIs,2026-08-05,29,-0.4,54.1,54.5,54.0,Bearish,Bearish,OK
US,4,Retail Sales MoM,2026-08-14,20,-0.7,-0.6,0.1,0.2,Bearish,Bearish,OK
US,5,CPI YoY,2026-08-12,22,0.0,3.4,3.4,3.5,Neutral,Neutral,OK
US,6,PPI YoY,2026-08-13,21,-0.2,4.7,4.9,5.5,Bearish,Bullish,OK
US,7,PCE YoY,2026-08-26,8,0.0,3.3,3.3,3.3,Neutral,Neutral,OK
US,8,Wage Growth YoY,2026-08-07,27,-0.3,3.2,3.5,3.4,Bearish,Bearish,OK
US,9,Unemployment Rate,2026-08-07,27,-0.1,4.1,4.2,4.2,Bullish,Bullish,OK
US,10,Non-Farm Payroll,2026-08-07,27,-108.0,-23.0,85.0,57.0,,,OK
US,11,ADP,2026-09-02,1,-9.0,38.0,47.0,44.0,,,OK
US,12,JOLTS Job Openings,2026-09-01,2,-0.06,7.27,7.33,7.18,,,OK
US,13,US Initial Jobless Claims,2026-08-27,7,-5.0,203.0,208.0,207.0,,,OK
EU,1,GDP Growth QoQ,2026-08-14,20,0.0,0.4,0.4,0.0,Neutral,Neutral,OK
EU,2,Manufacturing PMIs,2026-09-01,2,-0.1,52.7,52.8,52.8,Bearish,Bearish,OK
EU,3,Services PMIs,2026-08-21,13,0.2,51.7,51.5,51.7,Bullish,Bullish,OK
EU,4,Retail Sales MoM,2026-08-06,28,-0.4,-0.3,0.1,0.2,Bearish,Bearish,OK
EU,5,CPI YoY,2026-09-01,2,0.0,3.3,3.3,2.9,Neutral,Neutral,OK
EU,6,PPI YoY,2026-08-05,29,0.0,4.6,4.6,5.9,Neutral,Neutral,OK
EU,9,Unemployment Rate,2026-09-01,2,0.1,6.4,6.3,6.4,Bearish,Bearish,OK
UK,1,GDP Growth QoQ,2026-08-13,21,0.0,0.4,0.4,0.6,Neutral,Neutral,OK
UK,2,Manufacturing PMIs,2026-09-01,2,0.2,51.7,51.5,51.5,Bullish,Bullish,OK
UK,3,Services PMIs,2026-08-21,13,1.0,52.8,51.8,52.1,Bullish,Bullish,OK
UK,4,Retail Sales MoM,2026-08-21,13,-0.1,-0.5,-0.4,1.0,Bearish,Bearish,OK
UK,5,CPI YoY,2026-08-19,15,0.0,2.9,2.9,2.6,Neutral,Neutral,OK
