# A1 EdgeFinder -> Economic Data -> Economic Growth Data -> Services PMI.
# Read from the DOM 2026-09-03; A1 refresh stamp 03.09.2026 13:33:17 (= 10:33Z).
# Page p_wa6fla2ydd, currency selected by URL parameter df935.
# (Note the filter parameter differs per page - manufacturing PMI uses df1168.)
#
# THEIR PUBLISHED SOURCE NOTE, quoted verbatim from the page:
#   "Please note: USD uses ISM PMI data for both manufacturing and services.
#   Non-USD assets use Flash PMI Data."
# That is the first direct statement of which PMI vendor they read, and it says
# the US column is ISM while every other currency is the S&P Global FLASH release.
# It also explains the twice-monthly series: flash lands ~20th-24th, the final
# print ~1st-6th, and the `Revisions` column carries the restated value.
#
# THREE THINGS THIS CAPTURE ESTABLISHES.
#
# 1. CHF IS EUR. The Swiss services series is byte-identical to the euro-area
#    series on all 24 points - not merely equal in the current heatmap cell, equal
#    in every historical value. The substitution `CHF services PMI -> EU services
#    PMI` is therefore PROVEN, not hypothesised, and Workstream C can seed its
#    coverage table from this file. (The script that built this fixture asserts
#    the identity and refuses to write the file if it ever stops holding.)
#
# 2. CAD AND NZD HAVE NO SERVICES SERIES AT ALL. Both return an empty chart under
#    a filter code that works on the manufacturing page, so this is absence of
#    data, not a bad query. Their Economic Heatmaps nevertheless still print a
#    CA and NZ services row, both frozen at 1 May 2026 - 125 days stale on the day
#    of capture. Whatever fed those rows stopped, and A1 keeps scoring the corpse.
#
# 3. THE MISSING-FORECAST FALLBACK, third independent confirmation. JPY services
#    publishes no forecast for its most recent print (21 aug. 2026, actual 52,3),
#    and the JP heatmap still shows a surprise of +1,1 - which is 52,3 minus the
#    PREVIOUS ACTUAL of 51,2, not minus any forecast. Together with CAD and NZD
#    manufacturing this makes three currencies where A1's surprise is
#    `actual - previous actual` because no forecast exists.
#
# EXTRACTION VALIDATED against the independently captured heatmaps: the last row
# of USD, EUR, GBP and JPY reproduces that country's heatmap numbers exactly
# (54,1/54,5  51,7/51,5  52,8/51,8  52,3 with the 51,2 prior).
#
# CAVEATS: `axisLabel` is copied verbatim and their renderer truncates it with an
# ellipsis; no date has been inferred. AUD renders 33 points against 17 axis
# labels, so its rows carry UNALIGNED rather than a guessed date - the VALUES are
# exact, verified by confirming the accessible table repeats identically before
# de-duplication. Rows with an empty `revision` have not been revised yet.
currency,idx,axisLabel,actual,forecast,revision
USD,1,4 sept. 2025,52.0,50.9,52.0
USD,2,3 oct. 2025,50.0,51.8,50.0
USD,3,5 nov. 2025,52.4,50.7,52.4
USD,4,3 dec. 2025,52.6,52.0,52.6
USD,5,7 ian. 2026,54.4,52.2,53.8
USD,6,4 feb. 2026,53.8,53.5,53.8
USD,7,4 mar. 2026,56.1,53.5,56.1
USD,8,6 apr. 2026,54.0,54.8,54.0
USD,9,5 mai 2026,53.6,53.7,53.6
USD,10,3 iun. 2026,54.5,53.7,54.5
USD,11,6 iul. 2026,54.0,54.2,54.0
USD,12,5 aug. 2026,54.1,54.5,
EUR,1,3 sept.…,50.5,50.7,50.5
EUR,2,23 sept…,51.4,50.6,50.5
EUR,3,3 oct. 2…,51.3,51.4,51.3
EUR,4,24 oct.…,52.6,51.2,51.3
EUR,5,5 nov.…,53.0,52.6,53.0
EUR,6,21 nov.…,53.1,52.8,53.0
EUR,7,3 dec.…,53.6,53.1,53.6
EUR,8,16 dec.…,52.6,53.3,53.6
EUR,9,6 ian. 2…,52.4,52.6,52.4
EUR,10,23 ian.…,51.9,52.6,52.4
EUR,11,4 feb.…,51.6,51.9,51.6
EUR,12,20 feb.…,51.8,51.9,51.8
EUR,13,4 mar.…,51.9,51.8,51.9
EUR,14,24 mar…,50.1,51.1,51.9
EUR,15,7 apr. 2…,50.2,50.1,50.2
EUR,16,23 apr.…,47.4,49.8,50.2
EUR,17,6 mai 2…,47.6,47.4,47.6
EUR,18,21 mai…,46.4,47.8,47.6
EUR,19,3 iun. 2…,47.7,46.4,47.7
EUR,20,23 iun.…,48.9,48.6,47.7
EUR,21,3 iul. 2…,49.4,48.9,49.4
EUR,22,24 iul.…,51.6,49.8,49.4
EUR,23,5 aug.…,51.7,51.6,51.7
EUR,24,21 aug.…,51.7,51.5,51.7
GBP,1,3 sept.…,54.2,53.6,54.2
GBP,2,23 sept…,51.9,53.4,54.2
GBP,3,3 oct. 2…,50.8,51.9,50.8
GBP,4,24 oct.…,51.1,51.0,50.8
GBP,5,5 nov.…,52.3,51.1,52.3
GBP,6,21 nov.…,50.5,51.9,52.3
GBP,7,3 dec.…,51.3,50.5,51.3
GBP,8,16 dec.…,52.1,51.6,51.3
GBP,9,6 ian. 2…,51.4,52.1,51.4
GBP,10,23 ian.…,54.3,51.7,51.4
