# A1 EdgeFinder Monthly Seasonality scanner, read from the DOM during full access.
# A1 refresh stamp 03.09.2026 10:43 local (UTC+3) = 2026-09-03 07:43Z; their own
# 'time since last update' panel put the seasonality scanners at 21h old, i.e. a 24h job.
#
# One row per symbol per calendar month. tenYearAvgPct is the figure their Seasonality
# COLUMN scores: sign(tenYearAvgPct) reproduces their printed cell 7/7 on the seven
# symbols where our cell disagreed with theirs.
#
# fiveYearAvgPct and thisYearPct were captured for the first 19 symbols only, before the
# extractor was narrowed to the column that scores. Blank means not captured, NOT zero.
#
# Their scanner covers 48 assets and NOT the seven currency index rows (EURO, GB-POUND,
# JP-YEN, AU-DOLLAR, NZ-DOLLAR, CA-DOLLAR, CH-FRANC) - only USDOLLAR. It also carries VIX,
# which is not on the board. CHINA50, NATGAS, US10T and VIX are not modelled here.
symbol,month,tenYearAvgPct,fiveYearAvgPct,thisYearPct
AUDCAD,1,0.08,-0.22,3.7
AUDCAD,2,-0.09,0.01,2.13
AUDCAD,3,0,-0.39,-1.83
AUDCAD,4,-0.35,-0.84,2.16
AUDCAD,5,-0.45,-0.44,1.37
AUDCAD,6,-0.06,-0.55,-0.95
AUDCAD,7,0.27,-0.04,0.65
AUDCAD,8,-0.1,0.26,1.1
AUDCAD,9,-0.02,0.3,-0.18
AUDCAD,10,-0.05,-0.22,
AUDCAD,11,0.92,0.8,
AUDCAD,12,0.55,0.16,
AUDCHF,1,0.52,0.58,1.61
AUDCHF,2,0.07,0.59,1.92
AUDCHF,3,-0.22,0.67,-0.27
AUDCHF,4,0.3,-1.63,2.89
AUDCHF,5,-0.92,-0.28,-0.37
AUDCHF,6,-0.46,-1.21,-0.96
AUDCHF,7,0.03,-1.4,1.82
AUDCHF,8,-0.52,-0.49,2.31
AUDCHF,9,-0.06,-0.01,0.28
AUDCHF,10,0.5,-0.25,
AUDCHF,11,0.58,-0.51,
AUDCHF,12,-0.9,-0.68,
AUDJPY,1,-0.21,-0.26,3.07
AUDJPY,2,-0.08,1.14,2.55
AUDJPY,3,0.19,1.84,-1.15
AUDJPY,4,0.54,0.46,4.34
AUDJPY,5,-0.1,1.02,-0.08
AUDJPY,6,0.93,2,-2.3
AUDJPY,7,-0.11,-1.86,0.97
AUDJPY,8,-0.37,-0.11,1.89
AUDJPY,9,0.27,0.54,-0.66
AUDJPY,10,1.24,2.26,
AUDJPY,11,0.69,-1.12,
AUDJPY,12,0.28,0.11,
AUDNZD,1,0.56,0.61,0.31
AUDNZD,2,0.18,0.02,2.39
AUDNZD,3,0.44,0.36,0.82
AUDNZD,4,0.48,-0.09,1.93
AUDNZD,5,-0.56,-0.35,-1.28
AUDNZD,6,0.13,0.74,1.08
AUDNZD,7,0.04,0.1,-1.82
AUDNZD,8,0.62,-0.1,1.15
AUDNZD,9,0.46,0.75,1.4
AUDNZD,10,-0.24,0.01,
AUDNZD,11,-0.61,-0.71,
AUDNZD,12,-0.38,0.37,
AUDUSD,1,0.63,-0.58,5.22
AUDUSD,2,-0.43,-0.08,0.77
AUDUSD,3,-0.28,0.37,-3.6
AUDUSD,4,0.35,-0.39,4.17
AUDUSD,5,-0.52,0.12,0.46
AUDUSD,6,0.11,-0.74,-3.93
AUDUSD,7,0.75,-0.43,2.07
AUDUSD,8,-0.14,-0.2,1.96
AUDUSD,9,-0.73,-0.95,-0.34
AUDUSD,10,-0.46,-0.61,
AUDUSD,11,0.58,0.37,
AUDUSD,12,0.77,0.78,
BITCOIN,1,1.66,9.5,-10.16
BITCOIN,2,9.58,14.94,-14.79
BITCOIN,3,0.88,14.68,1.85
BITCOIN,4,11.38,-3.45,11.83
BITCOIN,5,9.05,-7.14,-3.57
BITCOIN,6,-1.24,-7.34,-20.41
BITCOIN,7,8.94,8.76,7.27
BITCOIN,8,3.87,-5.46,25.05
BITCOIN,9,-2.28,1.31,-2.44
BITCOIN,10,19.29,16.2,
BITCOIN,11,7.12,1.08,
BITCOIN,12,9.18,-3.33,
CADCHF,1,0.45,0.81,-2.01
CADCHF,2,0.16,0.55,-0.2
CADCHF,3,-0.2,1.1,1.57
CADCHF,4,0.65,-0.8,0.63
CADCHF,5,-0.47,0.16,-1.59
CADCHF,6,-0.41,-0.66,-0.04
CADCHF,7,-0.23,-1.36,1.11
CADCHF,8,-0.41,-0.74,1.25
CADCHF,9,-0.02,-0.3,0.43
CADCHF,10,0.56,-0.03,
CADCHF,11,-0.32,-1.24,
CADCHF,12,-1.42,-0.84,
CADJPY,1,-0.28,0.01,-0.61
CADJPY,2,0.02,1.13,0.39
CADJPY,3,0.17,2.21,0.68
CADJPY,4,0.91,1.31,2.14
CADJPY,5,0.35,1.48,-1.4
CADJPY,6,1.03,2.59,-1.39
CADJPY,7,-0.37,-1.81,0.33
CADJPY,8,-0.27,-0.36,0.78
CADJPY,9,0.31,0.25,-0.43
CADJPY,10,1.29,2.48,
CADJPY,11,-0.21,-1.87,
CADJPY,12,-0.25,-0.06,
CHFJPY,1,-0.8,-0.99,1.42
CHFJPY,2,-0.14,0.56,0.59
CHFJPY,3,0.38,1.14,-0.85
CHFJPY,4,0.28,2.11,1.38
CHFJPY,5,0.83,1.32,0.3
CHFJPY,6,1.43,3.28,-1.35
CHFJPY,7,-0.13,-0.48,-0.84
CHFJPY,8,0.16,0.39,-0.41
CHFJPY,9,0.35,0.61,-0.94
CHFJPY,10,0.75,2.52,
CHFJPY,11,0.1,-0.63,
CHFJPY,12,1.27,0.78,
EURAUD,1,-0.32,-0.04,-3.2
EURAUD,2,-0.16,-0.21,-2.12
EURAUD,3,0.74,0.21,0.7
EURAUD,4,0.04,1.02,-2.07
EURAUD,5,0.51,0.15,-0.75
EURAUD,6,0,0.31,2
EURAUD,7,-0.23,-0.07,-1.13
EURAUD,8,0.42,0.48,-1.33
EURAUD,9,-0.04,-0.13,0.3
EURAUD,10,-0.28,0.33,
EURAUD,11,-0.74,-0.1,
EURAUD,12,0.42,0.11,
EURCHF,1,0.23,0.68,-1.66
EURCHF,2,-0.14,0.34,-0.23
EURCHF,3,0.45,0.82,0.42
EURCHF,4,0.25,-0.68,0.81
EURCHF,5,-0.44,-0.15,-1.14
EURCHF,6,-0.5,-0.92,1
EURCHF,7,-0.22,-1.52,0.68
EURCHF,8,-0.11,0.01,0.93
EURCHF,9,-0.13,-0.19,0.61
EURCHF,10,0.19,0.03,
EURCHF,11,-0.21,-0.61,
EURCHF,12,-0.61,-0.59,
