# A1 EdgeFinder > Economic Data > Economic Growth Data > Consumer Confidence
# Captured 2026-09-02 ~09:20Z. idx is per-currency release order, NOT a shared grid.
# CAD, AUD, NZD publish NO forecast here. Series levels are not comparable across
# currencies (CAD ~48, AUD ~0.0, NZD ~90, EUR/GBP/CHF negative balances, JPY ~36).
# THIS SERIES DOES NOT FEED A1'S "Cnsmr Conf" BOARD COLUMN - see A1-REVERSE-ENGINEERING.md.
currency,idx,actual,forecast
USD,0,114.8,114.2
USD,1,106.7,114.8
USD,2,104.7,106.9
USD,3,97,104
USD,4,102,96
USD,5,100.4,100
USD,6,100.3,99.7
USD,7,103.3,100.9
USD,8,98.7,103.9
USD,9,108.7,99.5
USD,10,111.7,111.8
USD,11,104.7,112.9
USD,12,104.1,105.7
USD,13,98.3,102.7
USD,14,92.9,94.2
USD,15,86,87.7
USD,16,98,87.1
USD,17,93,99.4
USD,18,97.2,95.9
USD,19,97.4,96.4
USD,20,94.2,96
USD,21,88.7,93.5
USD,22,89.1,91.7
USD,23,84.5,90.6
USD,24,91.2,87.4
USD,25,91.8,87.8
USD,26,92.8,89
USD,27,93.1,91.9
USD,28,91.2,94.4
USD,29,90.8,92.4
USD,30,89.4,90.3
EUR,0,-15,-15.1
EUR,1,-16.1,-14.3
EUR,2,-16.1,-16.1
EUR,3,-15.5,-16
EUR,4,-15.5,-15.5
EUR,5,-14.9,-15
EUR,6,-14.9,-14.9
EUR,7,-14.7,-14
EUR,8,-14.7,-14.7
EUR,9,-14.3,-14
EUR,10,-14.3,-14.3
EUR,11,-14,-14
EUR,12,-14,-14
EUR,13,-13,-13
EUR,14,-13,-13
EUR,15,-13.4,-13
EUR,16,-13.5,-13.4
EUR,17,-12.9,-13
EUR,18,-12.9,-12.9
EUR,19,-12.5,-12
EUR,20,-12.5,-12.5
EUR,21,-13.7,-12.4
EUR,22,-13.7,-13.7
EUR,23,-14.5,-14
EUR,24,-14.5,-14.5
EUR,25,-14.2,-14
EUR,26,-14.2,-14.2
EUR,27,-13.6,
EUR,28,-13.6,-13.6
EUR,29,-14.5,-13
EUR,30,-14.5,-14.5
EUR,31,-16.7,-15
EUR,32,-16.7,-16.7
EUR,33,-15.2,-16
EUR,34,-15.2,-15.2
EUR,35,-15.3,-15
EUR,36,-15.3,-15.3
EUR,37,-14.7,-15
EUR,38,-14.7,-14.7
EUR,39,-15.5,-15.5
EUR,40,-14.9,-14.9
EUR,41,-14.2,-14.2
EUR,42,-14.6,-14
EUR,43,-13.1,-14.6
EUR,44,-12.4,-13
EUR,45,-12.4,-12.4
EUR,46,-12.2,-12
EUR,47,-12.2,-12.2
EUR,48,-16.3,-15
EUR,49,-16.3,-16.3
EUR,50,-20.6,-18
EUR,51,-20.6,-20.6
EUR,52,-19,-21
EUR,53,-19,-19
EUR,54,-17.7,-18
EUR,55,-17.7,-17.7
EUR,56,-15.9,-17
EUR,57,-15.9,-15.9
EUR,58,-15.5,-16
EUR,59,-15.5,-15.5
GBP,0,-19,-21
GBP,1,-21,-18
GBP,2,-21,-19
GBP,3,-19,-20
GBP,4,-17,-18
GBP,5,-14,-16
GBP,6,-13,-12
GBP,7,-13,-12
GBP,8,-20,-13
GBP,9,-21,-20
GBP,10,-18,-22
GBP,11,-17,-18
GBP,12,-22,-18
GBP,13,-20,-22
GBP,14,-19,-20
GBP,15,-23,-21
GBP,16,-20,-22
GBP,17,-18,-19
GBP,18,-19,-19
GBP,19,-17,-19
GBP,20,-19,-18
GBP,21,-19,-18
GBP,22,-17,-18
GBP,23,-16,-17
GBP,24,-19,-15
GBP,25,-21,-24
GBP,26,-21,-24
GBP,27,-25,-24
GBP,28,-23,-28
GBP,29,-23,-28
GBP,30,-23,-24
GBP,31,-17,-22
GBP,32,-17,-22
GBP,33,-14,-18
JPY,0,37.2,36.6
JPY,1,38,37.6
JPY,2,39.1,38.4
JPY,3,39.5,39.6
JPY,4,38.3,39.7
JPY,5,36.2,39.1
JPY,6,36.4,36.4
JPY,7,36.7,36.5
JPY,8,36.7,36.9
JPY,9,36.9,37.1
JPY,10,36.2,36.7
JPY,11,36.4,36.4
JPY,12,36.2,36.6
JPY,13,35.2,36.6
CHF,0,-26,-33
CHF,1,-42,-35
CHF,2,-38,-41
CHF,3,-24,-40
CHF,4,-38,-37
CHF,5,-37,-35
CHF,6,-19,-36
CHF,7,-35,-33
CHF,8,-34,-33
CHF,9,-27,-33
CHF,10,-37,-38
CHF,11,-30,-38
CHF,12,-21,-31
CHF,13,-34,-28
CHF,14,-35,-32
CHF,15,-39,-34
CHF,16,-37,-38
CHF,17,-32,-35
CHF,18,-28,-30
CHF,19,-40,-37
CHF,20,-37,-38
CHF,21,-37,-36
CHF,22,-34,-34
CHF,23,-31,-33
CHF,24,-30,-30
CHF,25,-30,-29
CHF,26,-43,-32
CHF,27,-40,-46
CHF,28,-38,-38
CHF,29,-36,-35
CHF,30,-33,-34
CAD,0,49.46,
CAD,1,47.38,
CAD,2,47.89,
CAD,3,48.02,
CAD,4,47.25,
CAD,5,47.14,
CAD,6,46.97,
CAD,7,50.06,
CAD,8,49.48,
CAD,9,48.41,
CAD,10,49.72,
CAD,11,48.24,
CAD,12,45.47,
CAD,13,46.09,
CAD,14,45.47,
CAD,15,45.35,
CAD,16,48.15,
CAD,17,48.82,
CAD,18,48.07,
CAD,19,47.7,
CAD,20,47.79,
CAD,21,48.04,
CAD,22,47.44,
CAD,23,46.43,
CAD,24,49.28,
CAD,25,47.46,
CAD,26,49.37,
CAD,27,45.59,
CAD,28,47.58,
CAD,29,48.95,
CAD,30,49.42,
CAD,31,48.19,
AUD,0,-0.01,
AUD,1,0.06,
AUD,2,-0.02,
AUD,3,-0.02,
AUD,4,-0,
AUD,5,0.02,
AUD,6,-0.01,
AUD,7,0.03,0.01
AUD,8,-0.01,
AUD,9,0.06,
AUD,10,0.05,
AUD,11,-0.02,
AUD,12,-0.01,
AUD,13,0,
AUD,14,0.04,
AUD,15,-0.06,
AUD,16,0.02,
AUD,17,0.01,
AUD,18,0.01,
AUD,19,0.06,
AUD,20,-0.03,
AUD,21,-0.04,
AUD,22,0.13,
AUD,23,-0.09,
AUD,24,-0.02,
NZD,0,93.2,
NZD,1,82.2,
NZD,2,90.8,
NZD,3,97.5,
NZD,4,89.2,
NZD,5,89.2,
NZD,6,91.2,
NZD,7,90.9,
NZD,8,96.5,
NZD,9,96.5,
NZD,10,94.7,
NZD,11,94.7,
NZD,12,94.7,
NZD,13,80.4,
NZD,14,80.4,
