currency,month,actual,forecast
USD,2025-01,2.9,2.9
USD,2025-02,3,2.9
USD,2025-03,2.8,2.9
USD,2025-04,2.4,2.6
USD,2025-05,2.3,2.4
USD,2025-06,2.4,2.5
USD,2025-07,2.7,2.7
USD,2025-08,2.7,2.8
USD,2025-09,2.9,2.9
USD,2025-10,3,3.1
USD,2025-11,3,3.1
USD,2025-12,2.7,3.1
USD,2026-01,2.7,2.7
USD,2026-02,2.4,2.5
USD,2026-03,2.4,2.4
USD,2026-04,3.3,3.3
USD,2026-05,3.8,3.7
USD,2026-06,4.2,4.2
USD,2026-07,3.5,3.8
USD,2026-08,3.4,3.4
EUR,2025-01,2.4,2.4
EUR,2025-02,2.5,2.5
EUR,2025-03,2.2,2.3
EUR,2025-04,2.2,2.2
EUR,2025-05,2.2,2.2
EUR,2025-06,2,2
EUR,2025-07,2,1.9
EUR,2025-08,2,2
EUR,2025-09,2.2,2.2
EUR,2025-10,2.1,2.1
EUR,2025-11,2.1,2.1
EUR,2025-12,2.1,2.2
EUR,2026-01,1.9,2
EUR,2026-02,1.7,1.7
EUR,2026-03,2.5,2.6
EUR,2026-04,3,2.9
EUR,2026-05,3,3
EUR,2026-06,2.8,3
EUR,2026-07,2.9,2.9
EUR,2026-08,3.3,3.3
EUR,2026-09,3.3,3.3
GBP,2025-01,2.5,2.6
GBP,2025-02,3,2.8
GBP,2025-03,2.8,2.9
GBP,2025-04,2.6,2.7
GBP,2025-05,3.5,3.3
GBP,2025-06,3.4,3.4
GBP,2025-07,3.6,3.4
GBP,2025-08,3.8,3.7
GBP,2025-09,3.8,3.8
GBP,2025-10,3.8,4
GBP,2025-11,3.6,3.6
GBP,2025-12,3.2,3.5
GBP,2026-01,3.4,3.3
GBP,2026-02,3,3
GBP,2026-03,3,3
GBP,2026-04,3.3,3.3
GBP,2026-05,2.8,3
GBP,2026-06,2.8,3
GBP,2026-07,2.6,2.7
GBP,2026-08,2.9,2.9
JPY,2025-01,3.6,3.2
JPY,2025-02,4,3.7
JPY,2025-03,3.7,4.2
JPY,2025-04,3.6,3.7
JPY,2025-05,3.6,3.7
JPY,2025-06,3.5,3.6
JPY,2025-07,3.3,3.3
JPY,2025-08,3.1,3.3
JPY,2025-09,2.7,2.8
JPY,2025-10,2.9,2.9
JPY,2025-11,3,3.1
JPY,2025-12,2.9,2.9
JPY,2026-01,2.1,2.7
JPY,2026-02,1.5,1.9
JPY,2026-03,1.3,1.3
JPY,2026-04,1.5,1.5
JPY,2026-05,1.4,1.8
JPY,2026-06,1.5,1.6
JPY,2026-07,1.7,1.7
JPY,2026-08,1.9,1.7
CHF,2025-01,0.6,0.6
CHF,2025-02,0.4,0.4
CHF,2025-03,0.3,0.2
CHF,2025-04,0.3,0.5
CHF,2025-05,0,0.2
CHF,2025-06,-0.1,-0.1
CHF,2025-07,0.1,-0.1
CHF,2025-08,0.2,0.1
CHF,2025-09,0.2,0.2
CHF,2025-10,0.2,0.3
CHF,2025-11,0.1,0.3
CHF,2025-12,0,0.1
CHF,2026-01,0.1,0.1
CHF,2026-02,0.1,0.1
CHF,2026-03,0.1,-0.1
CHF,2026-04,0.3,0.5
CHF,2026-05,0.6,0
CHF,2026-06,0.6,0.8
CHF,2026-07,0.5,0.5
CHF,2026-08,0.4,0.4
CAD,2025-01,1.8,1.9
CAD,2025-02,1.9,1.9
CAD,2025-03,2.6,2.2
CAD,2025-04,2.3,2.6
CAD,2025-05,1.7,1.6
CAD,2025-06,1.7,1.7
CAD,2025-07,1.9,1.9
CAD,2025-08,1.7,1.8
CAD,2025-09,1.9,2
CAD,2025-10,2.4,2.3
CAD,2025-11,2.2,0
CAD,2025-12,2.2,2.3
CAD,2026-01,2.4,2.2
CAD,2026-02,2.3,2.4
CAD,2026-03,1.8,1.9
CAD,2026-04,2.4,2.5
CAD,2026-05,2.8,3.1
CAD,2026-06,3.2,3
CAD,2026-07,2.8,2.9
CAD,2026-08,3,2.9
AUD,2025-01,2.4,2.5
AUD,2025-02,2.4,2.5
AUD,2025-03,2.4,2.5
AUD,2025-04,2.4,2.3
AUD,2025-05,2.4,2.3
AUD,2025-06,2.4,2.3
AUD,2025-07,2.1,2.2
AUD,2025-08,2.1,2.2
AUD,2025-09,2.1,2.2
AUD,2025-10,3.2,3
AUD,2025-11,3.8,3.6
AUD,2025-12,3.8,3.6
AUD,2026-01,3.8,3.6
AUD,2026-02,3.8,3.7
AUD,2026-03,3.7,3.8
AUD,2026-04,4.6,4.8
AUD,2026-05,4.2,4.4
AUD,2026-06,4,4.4
AUD,2026-07,3.8,4
AUD,2026-08,3.5,3.3
NZD,2025-01,2.2,2.1
NZD,2025-02,2.2,2.1
NZD,2025-03,2.2,2.1
NZD,2025-04,2.5,2.3
NZD,2025-05,2.5,2.3
NZD,2025-06,2.5,2.3
NZD,2025-07,2.7,2.8
NZD,2025-08,2.7,2.8
NZD,2025-09,2.7,2.8
NZD,2025-10,3,3
NZD,2025-11,3,3
NZD,2025-12,3,3
NZD,2026-01,3.1,3
NZD,2026-02,3.1,3
NZD,2026-03,3.1,3
NZD,2026-04,3.1,2.9
NZD,2026-05,3.1,2.9
NZD,2026-06,3.1,2.9
NZD,2026-07,4.1,4
NZD,2026-08,4.1,4
