# A1 EdgeFinder > Economic Data > Inflation Data > PPI YoY, captured 2026-09-02 ~09:10Z
# Chart range 1 ian. 2024 - 9 sept. 2026. idx is per-currency release order (NOT a shared month grid).
# A1's own classification buckets: exactly one of met/lower/higher carries the actual value.
currency,idx,forecast,met,lower,higher
USD,0,1.30,,1.00,
USD,1,0.60,,,0.90
USD,2,1.10,,,1.60
USD,3,2.20,,2.10,
USD,4,2.20,2.20,,
USD,5,2.50,,2.20,
USD,6,2.30,,,2.60
USD,7,2.30,,2.20,
USD,8,1.80,,1.70,
USD,9,1.60,,,1.80
USD,10,2.30,,,2.40
USD,11,2.60,,,3.00
USD,12,3.50,,3.30,
USD,13,3.20,,,3.50
USD,14,3.30,,3.20,
USD,15,3.30,,2.70,
USD,16,2.50,,2.40,
USD,17,2.60,2.60,,
USD,18,2.50,,2.30,
USD,19,2.50,,,3.30
USD,20,3.30,,2.60,
USD,21,2.70,2.70,,
USD,22,2.70,,,3.00
USD,23,2.60,,,2.90
USD,24,2.90,,,3.40
USD,25,4.60,,4.00,
USD,26,4.90,,,6.00
USD,27,6.40,,,6.50
USD,28,6.20,,5.50,
USD,29,4.90,,4.70,
EUR,0,-8.70,,-8.80,
EUR,1,-10.50,,-10.60,
EUR,2,-8.10,,-8.60,
EUR,3,-8.60,,,-8.30
EUR,4,,,-7.80,
EUR,5,-5.10,,-5.70,
EUR,6,-4.10,,-4.20,
EUR,7,-3.30,,,-3.20
EUR,8,-2.50,,,-2.10
EUR,9,-2.40,,,-2.30
EUR,10,-3.50,,,-3.40
EUR,11,,,-3.20,
EUR,12,-1.30,,,-1.20
EUR,13,-0.10,,,0.00
EUR,14,1.40,,,1.80
EUR,15,,,,3.00
EUR,16,2.00,,1.90,
EUR,17,1.20,,0.70,
EUR,18,0.30,0.30,,
EUR,19,0.50,,,0.60
EUR,20,0.10,,,0.20
EUR,21,-0.40,,-0.60,
EUR,22,-0.20,-0.20,,
EUR,23,-0.40,,-0.50,
EUR,24,-1.90,,,-1.70
EUR,25,-2.30,,,-2.10
EUR,26,-2.70,,,-2.10
EUR,27,-3.00,-3.00,,
EUR,28,1.80,,,2.10
EUR,29,4.80,,,4.90
EUR,30,5.70,,,5.90
EUR,31,4.60,4.60,,
GBP,0,0.40,,0.10,
GBP,1,-0.50,,-0.60,
GBP,2,-0.10,,,0.40
GBP,3,,,,0.60
GBP,4,1.20,,1.10,
GBP,5,,,,1.70
GBP,6,1.80,,1.40,
GBP,7,1.20,,0.80,
GBP,8,0.50,,0.20,
GBP,9,-0.60,,-0.70,
GBP,10,,,-0.80,
GBP,11,,,-0.60,
GBP,12,0.00,,,0.10
GBP,13,0.10,,,0.30
GBP,14,,,,3.40
GBP,15,,,,3.60
GBP,16,,,,3.40
GBP,17,,,,3.40
GBP,18,,,,2.50
GBP,19,2.60,,1.70,
GBP,20,,,,2.60
GBP,21,2.80,,,4.00
GBP,22,4.00,4.00,,
GBP,23,,,,3.50
GBP,24,3.20,,3.10,
JPY,0,-0.30,,,0.00
JPY,1,0.10,,,0.20
JPY,2,0.60,0.60,,
JPY,3,0.80,0.80,,
JPY,4,0.90,0.90,,
JPY,5,2.00,,,2.40
JPY,6,2.90,2.90,,
JPY,7,3.00,3.00,,
JPY,8,2.80,,2.50,
JPY,9,2.30,,,2.80
JPY,10,2.90,,,3.40
JPY,11,3.40,,,3.70
JPY,12,3.80,3.80,,
JPY,13,4.00,,,4.20
JPY,14,4.00,4.00,,
JPY,15,3.90,,,4.20
JPY,16,4.00,4.00,,
JPY,17,3.50,,3.20,
JPY,18,2.90,2.90,,
JPY,19,2.50,,,2.60
JPY,20,2.70,2.70,,
JPY,21,2.50,,,2.70
JPY,22,2.50,,,2.70
JPY,23,2.70,2.70,,
JPY,24,2.40,2.40,,
JPY,25,2.30,2.30,,
JPY,26,2.20,,2.00,
JPY,27,2.40,,,2.60
JPY,28,3.00,,,4.90
JPY,29,5.60,,,6.30
JPY,30,6.80,,,7.10
JPY,31,7.40,,7.20,
CHF,0,,,-1.10,
CHF,1,,,-2.30,
CHF,2,,,-2.00,
CHF,3,,,-2.10,
CHF,4,,,-1.80,
CHF,5,,,-1.80,
CHF,6,,,-1.90,
CHF,7,-1.70,-1.70,,
CHF,8,,,-1.20,
CHF,9,,,-1.30,
CHF,10,,,-1.80,
CHF,11,,,-1.50,
CHF,12,,,-0.90,
CHF,13,,,-0.30,
CHF,14,,,-0.10,
CHF,15,,,-0.10,
CHF,16,,,-0.50,
CHF,17,,,-0.70,
CHF,18,,,-0.70,
CHF,19,,,-0.90,
CHF,20,,,-1.80,
CHF,21,,,-1.80,
CHF,22,,,-1.70,
CHF,23,,,-1.60,
CHF,24,,,-1.80,
CHF,25,,,-2.20,
CHF,26,,,-2.70,
CHF,27,,,-2.70,
CHF,28,,,-2.00,
CHF,29,,,-1.80,
CHF,30,,,-2.10,
CHF,31,,,-2.10,
CAD,0,0.10,,,1.10
CAD,1,1.70,,,2.20
CAD,2,2.40,,,4.10
CAD,3,4.30,,,5.80
CAD,4,5.00,,4.90,
CAD,5,4.50,,,4.70
CAD,6,2.70,,2.00,
CAD,7,2.30,,1.20,
CAD,8,2.50,,1.70,
CAD,9,1.90,,,2.60
CAD,10,4.30,,4.00,
CAD,11,4.60,,,5.50
CAD,12,5.60,,,6.00
CAD,13,5.20,,,6.10
CAD,14,5.90,,4.90,
CAD,15,4.40,,,5.40
CAD,16,5.50,,5.40,
CAD,17,6.50,,,7.80
CAD,18,10.00,,,11.40
CAD,19,14.00,,13.60,
CAD,20,12.80,,12.40,
CAD,21,12.00,,,12.40
AUD,0,,,,4.10
AUD,1,,,,4.30
AUD,2,,,,4.80
AUD,3,,,,3.90
AUD,4,,,,3.70
AUD,5,,,,3.70
AUD,6,,,,3.40
AUD,7,,,,3.50
AUD,8,,,,3.50
AUD,9,,,,3.00
AUD,10,,,,3.00
AUD,11,,,,3.60
NZD,0,0.40,,,0.70
NZD,1,0.50,,,0.90
NZD,2,0.60,,,1.10
NZD,3,0.90,,,1.50
NZD,4,,,-0.10,
NZD,5,0.10,,,2.10
NZD,6,1.00,,0.60,
NZD,7,0.70,,0.60,
NZD,8,0.60,,0.10,
NZD,9,0.50,,,0.80
NZD,10,0.80,,,1.60
