asset,volatility,avg1dMove7d,sma20,sma50,sma100,sma200
USDJPY,Low,0.11,Bullish,Bearish,Bearish,Bullish
NZDUSD,Low,0.32,Bearish,Bullish,Bullish,Bullish
GBPUSD,Low,0.18,Bearish,Bullish,Bullish,Bullish
EURJPY,Low,0.17,Bullish,Bullish,Bullish,Bullish
AUDUSD,Low,0.30,Bullish,Bullish,Bullish,Bullish
ETHEREUM,High,3.25,Bullish,Bullish,Bullish,Bullish
AUDNZD,High,0.24,Bullish,Bullish,Bullish,Bullish
BITCOIN,Normal,1.40,Bullish,Bullish,Bullish,Bullish
GBPJPY,Low,0.22,Bullish,Bullish,Bullish,Bullish
EURO,Low,0.14,Bearish,Bullish,Bullish,Bearish
EURCHF,Low,0.16,Bullish,Bullish,Bullish,Bullish
GOLD,High,1.24,Bearish,Bullish,Bullish,Bearish
CH-FRANC,Low,0.25,Bullish,Neutral,Bullish,Bullish
USOIL,Low,1.67,Bullish,Bullish,Bullish,Bullish
NATGAS,Low,0.80,Bullish,Neutral,Bearish,Bearish
COPPER,Low,1.12,Bullish,Bullish,Bullish,Bullish
GB-POUND,Low,0.18,Bearish,Bullish,Bullish,Bullish
AUDCAD,Low,0.28,Bullish,Bullish,Bullish,Bullish
EURCAD,Low,0.12,Bearish,Bearish,Bearish,Bearish
AU-DOLLAR,Low,0.30,Bullish,Bullish,Bullish,Bullish
PLATINUM,Low,1.18,Neutral,Bullish,Bullish,Bearish
AUDCHF,Normal,0.28,Bullish,Bullish,Bullish,Bullish
SILVER,Low,1.61,Neutral,Bullish,Bullish,Bearish
AUDJPY,Low,0.30,Bullish,Bullish,Bullish,Bullish
