asset,volatility,avg1dMove7d,sma20,sma50,sma100,sma200
AU-DOLLAR,Low,0.27,Bullish,Bullish,Bullish,Bullish
AUDCAD,Low,0.17,Bullish,Bullish,Bullish,Bullish
AUDCHF,Low,0.17,Bullish,Bullish,Bullish,Bullish
AUDJPY,Low,0.21,Neutral,Bullish,Bullish,Bullish
AUDNZD,High,0.34,Bullish,Bullish,Bullish,Bullish
AUDUSD,Low,0.27,Bullish,Bullish,Bullish,Bullish
BITCOIN,Low,1.24,Bullish,Bullish,Bullish,Bullish
CA-DOLLAR,High,0.30,Bullish,Bearish,Bearish,Bullish
CADCHF,Low,0.15,Bullish,Bullish,Bullish,Bullish
CADJPY,Low,0.22,Bearish,Bearish,Bearish,Bearish
CH-FRANC,Low,0.32,Bullish,Bullish,Bullish,Bullish
CHFJPY,Normal,0.26,Bearish,Bearish,Bearish,Bearish
CHINA50,Low,0.46,Bearish,Bullish,Bullish,Bearish
COPPER,Low,0.87,Bullish,Bullish,Bullish,Bullish
DAX,Low,0.49,Bearish,Bullish,Bullish,Bullish
DOW,Low,0.50,Bearish,Bullish,Bullish,Bullish
ETHEREUM,Low,1.64,Bullish,Bullish,Bullish,Bullish
EURAUD,Low,0.17,Bearish,Bearish,Bearish,Bearish
EURCAD,Low,0.15,Bearish,Bearish,Bearish,Neutral
EURCHF,Normal,0.17,Bullish,Bullish,Bullish,Bullish
EURGBP,Low,0.09,Bullish,Bullish,Bullish,Bearish
EURJPY,Low,0.10,Bearish,Bearish,Bearish,Bearish
EURNZD,High,0.32,Bullish,Bullish,Bullish,Bearish
EURO,Normal,0.21,Bearish,Bullish,Bullish,Bearish
EURUSD,Normal,0.21,Bearish,Bullish,Bullish,Bearish
GB-POUND,Low,0.18,Bearish,Bullish,Bullish,Bullish
GBPAUD,Low,0.20,Bearish,Bearish,Bearish,Bearish
GBPCAD,Low,0.16,Bearish,Bearish,Bearish,Bullish
GBPCHF,Low,0.14,Bullish,Bullish,Bullish,Bullish
GBPJPY,Low,0.16,Bearish,Bearish,Bearish,Bullish
GBPNZD,Normal,0.29,Bullish,Bullish,Bullish,Bullish
GBPUSD,Low,0.18,Bearish,Bullish,Bullish,Bullish
GOLD,High,1.30,Bearish,Bullish,Bullish,Bearish
JP-YEN,Low,0.15,Bearish,Bearish,Bearish,Bullish
NASDAQ,Low,0.64,Bearish,Bearish,Bearish,Bullish
NATGAS,Low,1.13,Bullish,Bullish,Bearish,Bearish
NIKKEI,Low,0.76,Bearish,Bearish,Bearish,Bullish
NZ-DOLLAR,High,0.45,Bearish,Bullish,Bullish,Neutral
NZDCAD,Low,0.32,Bearish,Bearish,Bearish,Bullish
NZDCHF,Low,0.21,Bearish,Bullish,Bullish,Bullish
NZDJPY,High,0.43,Bearish,Bearish,Bearish,Neutral
NZDUSD,High,0.45,Bearish,Bullish,Bullish,Neutral
PLATINUM,Low,1.29,Bearish,Bullish,Bullish,Bearish
RUSSELL,Low,0.77,Bearish,Bearish,Bearish,Bullish
SILVER,Low,1.50,Bearish,Bullish,Bullish,Bearish
SPX500,Low,0.44,Bearish,Bullish,Bullish,Bullish
UK100,Low,0.37,Bearish,Bullish,Bullish,Bullish
US-DOLLAR,Low,0.17,Bullish,Bearish,Bearish,Bullish
US10T,High,0.91,Bullish,Bullish,Bullish,Bullish
USDCAD,High,0.30,Bullish,Bearish,Bearish,Bullish
USDCHF,Low,0.32,Bullish,Bullish,Bullish,Bullish
USDJPY,Low,0.15,Bearish,Bearish,Bearish,Bullish
USDZAR,Low,0.39,Bearish,Bearish,Bearish,Bearish
USOIL,Low,1.87,Bullish,Bullish,Bullish,Bullish
