Symbol,Bias,Score,Trend,Seasonality,COT,Crowd,GDP,mPMI,sPMI,RetailSales,CnsmrConf,CPI,PPI,PCE,Rates,NFP,UnempRate,UnempClaims,ADP,JOLTS,A1DayDelta
GOLD,Very Bullish,7,2,-1,2,1,0,-1,1,1,1,0,1,0,-1,1,-1,-1,1,1,-1
AUDNZD,Very Bullish,7,2,1,0,1,-1,2,0,1,2,0,0,0,-1,0,0,0,0,0,0
GBPNZD,Bullish,5,-2,1,0,-1,0,2,2,0,2,-1,2,0,0,0,0,0,0,0,0
GBPJPY,Bullish,4,2,1,2,1,1,1,0,-2,2,-1,0,-1,0,0,-2,0,0,0,2
CADCHF,Bullish,4,2,-1,0,1,0,2,0,0,-2,1,-1,0,0,0,2,0,0,0,3
AUDUSD,Bullish,4,2,-1,2,1,-1,0,0,1,2,1,-2,0,-1,1,-2,-1,1,1,0
NIKKEI,Neutral,3,-2,1,2,1,-1,0,1,1,-1,-1,1,1,-1,0,1,0,0,0,0
EURNZD,Neutral,3,-1,1,0,0,0,0,2,0,1,-1,1,0,0,0,0,0,0,0,0
CADJPY,Neutral,3,2,1,2,1,2,1,0,-2,0,0,-2,-1,-1,0,0,0,0,0,2
CA-DOLLAR,Neutral,3,-1,-1,0,0,1,1,1,-1,0,1,1,0,0,0,1,0,0,0,-3
USOIL,Neutral,2,2,1,2,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1,1
SILVER,Neutral,2,-2,-1,2,0,0,-1,1,1,1,0,1,0,-1,1,-1,-1,1,1,-6
GBPUSD,Neutral,2,-1,-1,2,0,0,-2,2,0,2,0,0,0,0,1,-2,-1,1,1,-3
GBPCHF,Neutral,2,-1,-1,0,1,-1,2,0,0,0,0,1,0,1,0,0,0,0,0,0
EURUSD,Neutral,2,-1,-1,2,0,0,0,2,0,1,0,-1,0,0,1,-2,-1,1,1,-5
EURGBP,Neutral,2,2,1,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0
AU-DOLLAR,Neutral,2,2,-1,1,1,-1,0,-1,0,0,1,1,0,0,0,-1,0,0,0,0
US10T,Neutral,1,-2,1,0,-1,0,-1,1,1,1,0,1,0,-1,1,-1,-1,1,1,2
GBPAUD,Neutral,1,-2,-1,0,-1,1,1,2,-1,0,-1,2,0,1,0,0,0,0,0,-2
EURCHF,Neutral,1,2,-1,0,1,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0
AUDCHF,Neutral,1,2,-1,0,1,-2,2,-2,1,0,1,-1,0,0,0,0,0,0,0,0
NZDUSD,Neutral,0,2,-1,2,0,0,-2,0,0,0,1,-2,0,0,1,-2,-1,1,1,0
NZ-DOLLAR,Neutral,0,2,-1,0,0,0,-1,-1,-1,0,1,1,0,1,0,-1,0,0,0,0
NATGAS,Neutral,0,2,1,0,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1,4
EURO,Neutral,0,-1,-1,1,0,0,1,1,-1,0,0,0,0,1,0,-1,0,0,0,-5
EURJPY,Neutral,0,2,1,2,1,1,-1,0,-2,1,-1,-1,-1,0,0,-2,0,0,0,2
CHFJPY,Neutral,0,2,1,2,0,2,-1,0,-2,2,-1,-1,-1,-1,0,-2,0,0,0,0
USDZAR,Neutral,-1,1,1,-2,0,-1,0,-1,0,-1,1,0,0,1,-1,2,1,-1,-1,3
USDJPY,Neutral,-1,2,1,0,0,1,1,-2,-2,0,-1,0,1,0,-1,0,1,-1,-1,2
CHINA50,Neutral,-1,-2,1,0,0,0,1,-1,-1,0,1,1,0,0,0,-1,0,0,0,-1
AUDJPY,Neutral,-1,2,1,2,1,0,0,-2,-1,2,0,-2,-1,-1,0,-2,0,0,0,2
AUDCAD,Neutral,-1,2,-1,0,1,-2,0,-2,1,2,0,0,0,0,0,-2,0,0,0,0
US-DOLLAR,Neutral,-2,1,1,0,-1,0,1,-1,-1,-1,0,-1,0,1,-1,1,1,-1,-1,0
NZDCHF,Neutral,-2,2,-1,0,1,-1,0,-2,0,-2,1,-1,0,1,0,0,0,0,0,0
JP-YEN,Neutral,-2,-2,-1,-1,0,-1,0,1,1,0,1,-1,-1,1,0,1,0,0,0,-2
DAX,Neutral,-2,-2,-1,0,-1,1,1,1,-1,0,1,0,0,-1,0,0,0,0,0,-3
COPPER,Neutral,-2,1,1,0,-1,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1,1
CH-FRANC,Neutral,-2,-1,-1,0,1,1,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,-5
GBPCAD,Neutral,-3,-2,-1,0,-1,-1,0,0,0,2,-1,2,0,1,0,-2,0,0,0,-3
GB-POUND,Neutral,-3,-1,-1,1,0,0,-1,1,-1,0,0,-1,0,1,0,-1,0,0,0,-3
EURCAD,Neutral,-3,2,-1,0,-1,-1,-2,0,0,1,-1,1,0,1,0,-2,0,0,0,-2
EURAUD,Neutral,-3,-2,-1,0,-1,1,-1,2,-1,-1,-1,1,0,1,0,0,0,0,0,-2
ETHEREUM,Neutral,-3,2,-1,-1,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1,-4
BITCOIN,Neutral,-3,2,-1,-1,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1,-2
USDCHF,Bearish,-4,1,1,-2,-1,-1,0,-2,0,-2,0,1,0,1,-1,2,1,-1,-1,5
UK100,Bearish,-4,-2,-1,0,0,0,-1,1,-1,1,0,1,0,-1,0,-1,0,0,0,-3
