Symbol,Bias,Score,Trend,Seasonality,COT,Crowd,GDP,mPMI,sPMI,RetailSales,CnsmrConf,CPI,PPI,PCE,Rates,NFP,UnempRate,UnempClaims,ADP,JOLTS
SILVER,Very Bullish,8,2,1,2,0,0,-1,1,1,1,0,1,0,-1,1,-1,-1,1,1
GOLD,Very Bullish,8,2,1,2,0,0,-1,1,1,1,0,1,0,-1,1,-1,-1,1,1
EURUSD,Very Bullish,7,2,1,2,0,0,0,2,0,1,0,-1,0,0,1,-2,-1,1,1
AUDNZD,Very Bullish,7,2,1,0,1,-1,2,0,1,2,0,0,0,-1,0,0,0,0,0
GBPUSD,Bullish,5,2,-1,2,0,0,-2,2,0,2,0,0,0,0,1,-2,-1,1,1
GBPNZD,Bullish,5,-2,1,0,-1,0,2,2,0,2,-1,2,0,0,0,0,0,0,0
EURO,Bullish,5,2,1,1,0,0,1,1,-1,0,0,0,0,1,0,-1,0,0,0
AUDUSD,Bullish,4,2,-1,2,1,-1,0,0,1,2,1,-2,0,-1,1,-2,-1,1,1
USOIL,Neutral,3,2,1,2,1,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
NIKKEI,Neutral,3,-2,1,2,1,-1,0,1,1,-1,-1,1,1,-1,0,1,0,0,0
GBPAUD,Neutral,3,-2,1,0,-1,1,1,2,-1,0,-1,2,0,1,0,0,0,0,0
EURNZD,Neutral,3,-1,1,0,0,0,0,2,0,1,-1,1,0,0,0,0,0,0,0
CH-FRANC,Neutral,3,2,1,0,1,1,-1,1,-1,0,0,0,0,0,0,-1,0,0,0
CA-DOLLAR,Neutral,3,-1,-1,0,0,1,1,1,-1,0,1,1,0,0,0,1,0,0,0
GBPJPY,Neutral,2,2,-1,2,1,1,1,0,-2,2,-1,0,-1,0,0,-2,0,0,0
GBPCHF,Neutral,2,-1,-1,0,1,-1,2,0,0,0,0,1,0,1,0,0,0,0,0
EURGBP,Neutral,2,2,1,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0
AU-DOLLAR,Neutral,2,2,-1,1,1,-1,0,-1,0,0,1,1,0,0,0,-1,0,0,0
US10T,Neutral,1,-2,1,0,-1,0,-1,1,1,1,0,1,0,-1,1,-1,-1,1,1
NATGAS,Neutral,1,2,1,0,1,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
EURCHF,Neutral,1,2,-1,0,1,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0
DAX,Neutral,1,1,-1,0,-1,1,1,1,-1,0,1,0,0,-1,0,0,0,0,0
CADJPY,Neutral,1,2,-1,2,1,2,1,0,-2,0,0,-2,-1,-1,0,0,0,0,0
CADCHF,Neutral,1,-1,-1,0,1,0,2,0,0,-2,1,-1,0,0,0,2,0,0,0
AUDCHF,Neutral,1,2,-1,0,1,-2,2,-2,1,0,1,-1,0,0,0,0,0,0,0
NZDUSD,Neutral,0,2,-1,2,0,0,-2,0,0,0,1,-2,0,0,1,-2,-1,1,1
NZ-DOLLAR,Neutral,0,2,-1,0,0,0,-1,-1,-1,0,1,1,0,1,0,-1,0,0,0
JP-YEN,Neutral,0,-2,1,-1,0,-1,0,1,1,0,1,-1,-1,1,0,1,0,0,0
GBPCAD,Neutral,0,1,-1,0,-1,-1,0,0,0,2,-1,2,0,1,0,-2,0,0,0
GB-POUND,Neutral,0,2,-1,1,0,0,-1,1,-1,0,0,-1,0,1,0,-1,0,0,0
CHINA50,Neutral,0,-2,1,0,1,0,1,-1,-1,0,1,1,0,0,0,-1,0,0,0
CHFJPY,Neutral,0,2,1,2,0,2,-1,0,-2,2,-1,-1,-1,-1,0,-2,0,0,0
UK100,Neutral,-1,1,-1,0,0,0,-1,1,-1,1,0,1,0,-1,0,-1,0,0,0
PLATINUM,Neutral,-1,2,-1,2,-1,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
EURCAD,Neutral,-1,2,1,0,-1,-1,-2,0,0,1,-1,1,0,1,0,-2,0,0,0
EURAUD,Neutral,-1,-2,1,0,-1,1,-1,2,-1,-1,-1,1,0,1,0,0,0,0,0
BITCOIN,Neutral,-1,2,1,-1,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
AUDJPY,Neutral,-1,2,1,2,1,0,0,-2,-1,2,0,-2,-1,-1,0,-2,0,0,0
AUDCAD,Neutral,-1,2,-1,0,1,-2,0,-2,1,2,0,0,0,0,0,-2,0,0,0
US-DOLLAR,Neutral,-2,1,1,0,-1,0,1,-1,-1,-1,0,-1,0,1,-1,1,1,-1,-1
NZDCHF,Neutral,-2,2,-1,0,1,-1,0,-2,0,-2,1,-1,0,1,0,0,0,0,0
EURJPY,Neutral,-2,2,-1,2,1,1,-1,0,-2,1,-1,-1,-1,0,0,-2,0,0,0
USDJPY,Neutral,-3,2,-1,0,0,1,1,-2,-2,0,-1,0,1,0,-1,0,1,-1,-1
NASDAQ,Neutral,-3,-2,1,1,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
ETHEREUM,Neutral,-3,2,-1,-1,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
COPPER,Neutral,-3,2,-1,0,-1,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
USDZAR,Bearish,-4,-2,1,-2,0,-1,0,-1,0,-1,1,0,0,1,-1,2,1,-1,-1
USDCAD,Bearish,-5,1,1,-2,0,-1,-2,-2,0,0,-1,2,0,1,-1,0,1,-1,-1
SPX500,Bearish,-5,-2,1,-1,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
NZDJPY,Bearish,-5,2,-1,2,1,1,-1,-2,-2,0,0,-2,-1,0,0,-2,0,0,0
RUSSELL,Bearish,-6,-2,1,-2,0,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
NZDCAD,Very Bearish,-7,1,-1,0,-1,-1,-2,-2,0,0,0,0,0,1,0,-2,0,0,0
DOW,Very Bearish,-7,-2,-1,0,-1,0,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
USDCHF,Very Bearish,-9,-2,-1,-2,-1,-1,0,-2,0,-2,0,1,0,1,-1,2,1,-1,-1
