Symbol,Bias,Score,Trend,Seasonality,COT,Crowd,GDP,mPMI,sPMI,RetailSales,CnsmrConf,CPI,PPI,PCE,Rates,NFP,UnempRate,UnempClaims,ADP,JOLTS
GBPNZD,Very Bullish,11,2,1,0,1,0,2,2,0,2,-1,2,0,0,0,0,0,0,0
AUDNZD,Very Bullish,9,2,1,0,1,1,2,0,1,2,0,0,0,-1,0,0,0,0,0
AUDUSD,Very Bullish,8,2,-1,2,1,1,2,0,1,2,1,-2,0,-1,1,-2,-1,1,1
EURNZD,Very Bullish,7,2,1,0,1,0,0,2,0,1,-1,1,0,0,0,0,0,0,0
GBPUSD,Bullish,6,-1,-1,2,0,0,2,2,0,2,0,0,0,0,1,-2,-1,1,1
SILVER,Bullish,5,-2,-1,2,1,0,1,1,1,1,0,1,0,-1,1,-1,-1,1,1
GOLD,Bullish,5,-2,-1,2,1,0,1,1,1,1,0,1,0,-1,1,-1,-1,1,1
GBPJPY,Bullish,4,2,1,2,0,1,2,0,-2,2,-1,0,-1,0,0,-2,0,0,0
GBPCAD,Bullish,4,2,-1,0,0,-1,2,0,0,2,-1,2,0,1,0,-2,0,0,0
AU-DOLLAR,Bullish,4,2,-1,1,1,1,0,-1,0,0,1,1,0,0,0,-1,0,0,0
US10T,Neutral,3,-2,1,0,-1,0,1,1,1,1,0,1,0,-1,1,-1,-1,1,1
AUDCAD,Neutral,3,2,-1,0,1,0,2,-2,1,2,0,0,0,0,0,-2,0,0,0
EURUSD,Neutral,2,-1,-1,2,0,0,0,2,0,1,0,-1,0,0,1,-2,-1,1,1
AUDJPY,Neutral,2,2,1,2,1,2,1,-2,-1,2,0,-2,-1,-1,0,-2,0,0,0
NIKKEI,Neutral,1,-2,1,2,0,-1,-1,1,1,-1,-1,1,1,-1,0,1,0,0,0
GBPCHF,Neutral,1,2,-1,0,1,-1,0,0,-2,0,0,1,0,1,0,0,0,0,0
EURJPY,Neutral,1,2,1,2,1,1,0,0,-2,1,-1,-1,-1,0,0,-2,0,0,0
CHFJPY,Neutral,1,-1,1,2,-1,2,2,0,0,2,-1,-1,-1,-1,0,-2,0,0,0
CADJPY,Neutral,1,2,1,2,0,2,0,0,-2,0,0,-2,-1,-1,0,0,0,0,0
CA-DOLLAR,Neutral,1,-1,-1,0,0,1,-1,1,-1,0,1,1,0,0,0,1,0,0,0
USOIL,Neutral,0,2,1,2,0,0,-1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
EURGBP,Neutral,0,2,1,0,1,0,-2,0,0,-1,0,-1,0,0,0,0,0,0,0
EURCAD,Neutral,0,2,-1,0,0,-1,0,0,0,1,-1,1,0,1,0,-2,0,0,0
CH-FRANC,Neutral,0,-2,-1,0,0,1,1,1,1,0,0,0,0,0,0,-1,0,0,0
CADCHF,Neutral,0,2,-1,0,1,0,0,0,-2,-2,1,-1,0,0,0,2,0,0,0
USDZAR,Neutral,-1,1,1,-2,0,-1,0,-1,0,-1,1,0,0,1,-1,2,1,-1,-1
UK100,Neutral,-1,-2,-1,0,1,0,1,1,-1,1,0,1,0,-1,0,-1,0,0,0
GBPAUD,Neutral,-1,-2,-1,0,-1,-1,1,2,-1,0,-1,2,0,1,0,0,0,0,0
GB-POUND,Neutral,-1,-1,-1,1,0,0,1,1,-1,0,0,-1,0,1,0,-1,0,0,0
CHINA50,Neutral,-1,-2,1,0,0,0,1,-1,-1,0,1,1,0,0,0,-1,0,0,0
AUDCHF,Neutral,-1,2,-1,0,1,0,0,-2,-1,0,1,-1,0,0,0,0,0,0,0
USDJPY,Neutral,-2,2,1,0,0,1,0,-2,-2,0,-1,0,1,0,-1,0,1,-1,-1
NATGAS,Neutral,-2,2,1,0,0,0,-1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,-1
