Symbol,Bias,Score,Trend,Seasonality,COT,Crowd,GDP,mPMI,sPMI,RetailSales,CnsmrConf,CPI,PPI,PCE,Rates,NFP,UnempRate,UnempClaims,ADP,JOLTS,A1DayDelta
AUDNZD,Very Bullish,12,2,1,0,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,
GBPNZD,Very Bullish,9,2,1,-2,1,0,2,0,0,2,-1,2,0,0,0,2,0,0,0,
JP-YEN,Very Bullish,8,2,-1,1,1,1,-1,1,1,0,1,1,-1,1,0,1,0,0,0,
USDZAR,Bullish,5,2,1,2,0,1,0,1,0,-1,1,-2,0,1,1,1,-1,-1,-1,
AUDCHF,Bullish,5,2,-1,2,1,0,0,2,-1,1,0,0,0,0,0,-1,0,0,0,
AUDUSD,Bullish,4,-2,-1,0,0,1,2,0,1,2,1,0,0,-1,-1,-1,1,1,1,
AUDCAD,Bullish,4,-1,-1,0,1,0,2,0,1,2,1,0,0,0,0,-1,0,0,0,
EURCHF,Bearish,-4,2,-1,0,1,0,-2,0,-2,0,-1,0,0,0,0,-1,0,0,0,
ETHEREUM,Bearish,-4,2,-1,1,0,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
AUDJPY,Bearish,-4,-2,1,0,-1,0,1,0,-1,2,0,0,-1,-1,0,-2,0,0,0,
NZDUSD,Bearish,-5,-2,-1,0,-1,0,0,-2,0,0,1,0,0,-1,-1,-1,1,1,1,
NZ-DOLLAR,Bearish,-5,-2,-1,1,-1,0,-1,-1,-1,0,1,1,0,0,0,-1,0,0,0,
EURUSD,Bearish,-5,-2,-1,-2,0,1,0,-2,0,1,0,0,0,-1,-1,-1,1,1,1,
GBPJPY,Bearish,-6,-2,1,-2,-1,-1,2,-2,-2,2,-1,2,-1,-1,0,0,0,0,0,
GB-POUND,Bearish,-6,-2,-1,-2,0,0,1,-1,-1,0,0,-1,0,0,0,1,0,0,0,
EURO,Bearish,-6,-2,-1,-1,0,1,-1,-1,-1,0,0,1,0,0,0,-1,0,0,0,
EURGBP,Bearish,-6,-1,1,0,0,1,-2,0,0,-1,0,-2,0,0,0,-2,0,0,0,
DAX,Bearish,-6,-2,-1,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,
COPPER,Bearish,-6,-2,1,2,-1,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
CHFJPY,Bearish,-6,-2,1,-2,-1,0,2,-2,0,1,0,0,-1,-1,0,-1,0,0,0,
NZDCAD,Very Bearish,-7,-2,-1,0,-1,-1,0,-2,0,0,1,0,0,0,0,-1,0,0,0,
NATGAS,Very Bearish,-7,-1,1,-2,1,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
USDJPY,Very Bearish,-8,-2,1,0,-1,-1,0,0,-2,0,-1,0,1,0,1,-1,-1,-1,-1,
PLATINUM,Very Bearish,-8,-2,-1,2,-1,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
NASDAQ,Very Bearish,-8,-1,-1,-1,1,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
BITCOIN,Very Bearish,-8,-2,-1,1,0,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
SPX500,Very Bearish,-9,-2,-1,-1,1,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
DOW,Very Bearish,-10,-2,-1,0,-1,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
RUSSELL,Very Bearish,-11,-2,-1,-2,0,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,
