Symbol,Bias,Score,Trend,Seasonality,COT,Crowd,GDP,mPMI,sPMI,RetailSales,CnsmrConf,CPI,PPI,PCE,Rates,NFP,UnempRate,UnempClaims,ADP,JOLTS,A1DayDelta
JP-YEN,Very Bullish,8,2,-1,1,1,1,-1,1,1,0,1,1,-1,1,0,1,0,0,0,0
US-DOLLAR,Bullish,4,2,1,2,-1,0,-1,1,1,-1,0,1,0,1,1,0,-1,-1,-1,-1
NZ-DOLLAR,Bearish,-4,-2,-1,1,-1,1,-1,-1,-1,0,1,1,0,0,0,-1,0,0,0,1
GB-POUND,Bearish,-5,-2,-1,-2,-1,0,1,-1,-1,0,0,1,0,0,0,1,0,0,0,0
ETHEREUM,Bearish,-5,-2,-1,1,1,0,-1,1,1,-1,0,-1,0,-1,1,0,-1,-1,-1,-6
BITCOIN,Bearish,-5,-2,-1,1,1,0,-1,1,1,-1,0,-1,0,-1,1,0,-1,-1,-1,0
PLATINUM,Bearish,-6,-2,-1,2,-1,0,-1,1,1,-1,0,-1,0,-1,1,0,-1,-1,-1,0
DAX,Bearish,-6,-2,-1,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0
USDJPY,Very Bearish,-7,-2,1,0,-1,-1,0,0,0,0,-1,0,1,-1,1,-1,-1,-1,-1,0
SPX500,Very Bearish,-8,-2,-1,-1,0,0,-1,1,1,-1,0,-1,0,-1,1,0,-1,-1,-1,-1
NASDAQ,Very Bearish,-8,-2,-1,-1,0,0,-1,1,1,-1,0,-1,0,-1,1,0,-1,-1,-1,-1
EURUSD,Very Bearish,-8,-2,-1,-2,-1,1,0,-2,-2,1,-1,0,0,0,-1,-1,1,1,1,-1
EURO,Very Bearish,-8,-2,-1,-1,-1,1,-1,-1,-1,0,-1,1,0,0,0,-1,0,0,0,-1
DOW,Very Bearish,-8,-2,-1,0,-1,0,-1,1,1,-1,0,-1,0,-1,1,0,-1,-1,-1,0
RUSSELL,Very Bearish,-9,-2,-1,-2,0,0,-1,1,1,-1,0,-1,0,-1,1,0,-1,-1,-1,0
