Symbol,Bias,Score,Trend,Seasonality,COT,Crowd,GDP,mPMI,sPMI,RetailSales,CnsmrConf,CPI,PPI,PCE,Rates,NFP,UnempRate,UnempClaims,ADP,JOLTS,A1DayDelta
AUDNZD,Very Bullish,9,2,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,-1
JP-YEN,Very Bullish,8,2,-1,1,1,1,-1,1,1,0,1,1,-1,1,0,1,0,0,0,0
USDZAR,Bullish,6,2,1,2,0,1,0,1,0,-1,1,-2,0,0,1,1,1,-1,-1,2
US-DOLLAR,Bullish,6,2,1,2,-1,0,-1,1,1,-1,0,1,0,1,1,0,1,-1,-1,1
USDCAD,Bullish,5,2,1,0,1,-1,0,0,2,0,0,0,0,0,1,0,1,-1,-1,2
AUDCHF,Bullish,5,2,-1,2,1,0,0,2,-1,1,0,0,0,0,0,-1,0,0,0,0
GBPNZD,Neutral,3,2,1,-2,0,-1,2,0,0,0,-1,0,0,0,0,2,0,0,0,-2
AUDCAD,Neutral,3,-2,-1,0,1,0,2,0,1,2,1,0,0,0,0,-1,0,0,0,1
USOIL,Neutral,2,2,1,0,1,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,2
USDCHF,Neutral,2,2,1,2,0,-1,-2,2,0,-1,-1,0,0,0,1,0,1,-1,-1,2
NIKKEI,Neutral,1,-2,1,2,0,1,-1,1,1,-1,-1,-1,1,-1,0,1,0,0,0,0
AUDUSD,Neutral,1,-2,-1,0,0,1,2,0,-1,2,1,0,0,0,-1,-1,-1,1,1,-2
AU-DOLLAR,Neutral,1,-2,-1,1,0,1,0,1,0,0,1,1,0,0,0,-1,0,0,0,0
GBPCHF,Neutral,0,2,-1,0,1,-1,0,0,-2,1,-1,0,0,0,0,1,0,0,0,0
CADCHF,Neutral,0,2,-1,2,1,0,-2,2,-2,-1,-1,0,0,0,0,0,0,0,0,0
GBPCAD,Neutral,-1,1,-1,-2,-1,-1,2,-2,0,2,0,0,0,0,0,1,0,0,0,0
EURNZD,Neutral,-1,2,1,-2,1,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,-2
COPPER,Neutral,-1,-1,1,2,-1,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,3
CH-FRANC,Neutral,-1,-2,-1,-2,0,1,1,-1,1,0,1,1,0,0,0,0,0,0,0,0
UK100,Neutral,-3,-2,1,0,0,0,1,-1,-1,1,0,-1,0,0,0,-1,0,0,0,0
GOLD,Neutral,-3,-2,-1,2,0,0,1,-1,-1,1,0,-1,0,-1,-1,0,-1,1,1,-3
ETHEREUM,Neutral,-3,-2,-1,1,1,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,-4
CA-DOLLAR,Neutral,-3,-2,-1,0,-1,1,-1,1,-1,0,0,1,0,0,0,0,0,0,0,0
BITCOIN,Neutral,-3,-2,-1,1,1,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,2
