Symbol,Bias,Score,Trend,Seasonality,COT,Crowd,GDP,mPMI,sPMI,RetailSales,CnsmrConf,CPI,PPI,PCE,Rates,NFP,UnempRate,UnempClaims,ADP,JOLTS,A1DayDelta
SILVER,Bearish,-4,-2,-1,0,1,0,1,-1,-1,1,0,-1,0,-1,-1,0,-1,1,1,-1
PLATINUM,Bearish,-4,-2,-1,2,-1,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,2
NZDCAD,Bearish,-4,-2,-1,0,-1,0,0,-2,0,2,1,0,0,0,0,-1,0,0,0,1
NZ-DOLLAR,Bearish,-4,-2,-1,1,-1,1,-1,-1,-1,0,1,1,0,0,0,-1,0,0,0,1
EURGBP,Bearish,-4,-1,1,0,1,1,-2,0,0,-1,-1,0,0,0,0,-2,0,0,0,1
AUDJPY,Bearish,-4,-2,1,0,-1,0,1,0,-1,2,0,0,-1,-1,0,-2,0,0,0,0
USDJPY,Bearish,-5,-2,1,0,-1,-1,0,0,0,0,-1,0,1,-1,1,-1,1,-1,-1,2
NZDUSD,Bearish,-5,-2,-1,0,-1,1,0,-2,-2,2,1,0,0,0,-1,-1,-1,1,1,-1
NZDCHF,Bearish,-5,-2,-1,2,0,0,-2,0,-2,1,0,0,0,0,0,-1,0,0,0,1
NASDAQ,Bearish,-5,-1,-1,-1,0,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,2
GBPUSD,Bearish,-5,-2,-1,-2,-1,0,2,-2,-2,2,0,0,0,0,-1,1,-1,1,1,-2
GBPAUD,Bearish,-5,1,-1,-2,-1,-1,1,-2,-1,0,-1,0,0,0,0,2,0,0,0,0
GB-POUND,Bearish,-5,-2,-1,-2,-1,0,1,-1,-1,0,0,1,0,0,0,1,0,0,0,0
EURCHF,Bearish,-5,2,-1,0,1,0,-2,0,-2,0,-2,0,0,0,0,-1,0,0,0,-1
CHFJPY,Bearish,-5,-2,1,-2,0,0,2,-2,0,1,0,0,-1,-1,0,-1,0,0,0,1
SPX500,Bearish,-6,-2,-1,-1,0,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,1
DOW,Bearish,-6,-2,-1,0,-1,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,2
DAX,Bearish,-6,-2,-1,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0
RUSSELL,Very Bearish,-7,-2,-1,-2,0,0,-1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,2
NZDJPY,Very Bearish,-8,-2,1,0,-1,0,0,-2,-2,2,0,0,-1,-1,0,-2,0,0,0,1
GBPJPY,Very Bearish,-8,-2,1,-2,-1,-1,2,-2,-2,2,-1,0,-1,-1,0,0,0,0,0,0
